id,price,bedrooms,bathrooms,floors,sqft_basement,yr_built,yr_renovated,house_age,renovation_status,years_since_renovation
459,444366,4,2,1,1093,1998,2004,28,Renovated,22.0
460,794840,1,2,2,424,1968,2000,58,Renovated,26.0
461,150235,4,3,1,998,1961,1990,65,Renovated,36.0
462,124740,1,2,2,707,2010,2012,16,Renovated,14.0
463,428496,4,3,1,560,1990,2018,36,Renovated,8.0
464,227247,1,1,2,827,1982,2018,44,Renovated,8.0
465,713165,2,3,1,955,1999,2007,27,Renovated,19.0
466,579525,5,1,1,516,2017,1996,9,Renovated,30.0
467,70056,3,3,2,427,2020,2014,6,Renovated,12.0
468,226615,4,2,1,159,1982,1995,44,Renovated,31.0
469,237628,5,3,2,148,1973,2018,53,Renovated,8.0
470,688836,3,3,2,775,2010,1995,16,Renovated,31.0
471,423632,3,1,1,1253,2010,1991,16,Renovated,35.0
472,184415,1,2,2,66,1977,0,49,Not Renovated,
473,456716,2,3,2,1013,2007,2013,19,Renovated,13.0
474,496438,2,2,2,380,1992,0,34,Not Renovated,
475,603663,5,3,2,57,1990,2003,36,Renovated,23.0
476,715022,2,3,2,1282,1988,2001,38,Renovated,25.0
477,591252,4,2,1,341,1998,1996,28,Renovated,30.0
478,687717,2,3,2,1153,1966,1993,60,Renovated,33.0
479,302764,5,2,2,726,2019,1997,7,Renovated,29.0
480,764998,2,3,2,1195,2019,0,7,Not Renovated,
481,516882,4,1,2,769,2014,1990,12,Renovated,36.0
482,790427,1,2,2,613,1954,2011,72,Renovated,15.0
483,562153,5,3,1,1232,1951,1997,75,Renovated,29.0
484,117215,1,3,2,353,1971,2022,55,Renovated,4.0
485,194356,1,1,1,1494,2006,2002,20,Renovated,24.0
486,253861,1,2,1,115,2015,1992,11,Renovated,34.0
487,405612,3,3,1,1287,1965,2018,61,Renovated,8.0
488,504605,3,1,1,661,2000,2019,26,Renovated,7.0
489,59435,1,3,2,1465,1988,1999,38,Renovated,27.0
490,497556,5,2,1,452,1989,1996,37,Renovated,30.0
491,749438,4,3,1,286,1987,1991,39,Renovated,35.0
492,625581,4,3,2,1326,2009,2002,17,Renovated,24.0
493,128781,2,3,2,1016,2008,2001,18,Renovated,25.0
494,241475,5,3,2,310,1959,2020,67,Renovated,6.0
495,210196,3,1,1,207,2013,2022,13,Renovated,4.0
496,276507,1,1,2,617,2012,2007,14,Renovated,19.0
497,356063,2,2,2,445,1998,2004,28,Renovated,22.0
498,740607,4,1,1,669,2013,1990,13,Renovated,36.0
499,171172,3,1,2,632,1981,2005,45,Renovated,21.0
500,406902,3,2,2,54,1956,2022,70,Renovated,4.0
